id,title,year,categories,abstract,pdf_url,download_status,matched_terms,match_score
2505.04198v1,A Predictive Theory of Electrochemical Ostwald Ripening for Electrodeposited Lithium Metal,2025,"cond-mat.mtrl-sci, cond-mat.soft, physics.chem-ph","in this work, we present a theoretical framework that describes the evolution
of lithium nuclei under the competing effects of electroplating and surface
energy-driven redistribution (electrochemical ...",http://arxiv.org/pdf/2505.04198v1,Downloaded (2621.19 KB),"deposition, cu, battery, electrodeposition, lithium, electroplating",75
2408.00660v1,Droplet-confined electroplating for nanoscale additive manufacturing: current control of the initial stages of the growth of copper nanowires,2024,"cond-mat.mtrl-sci, cond-mat.mes-hall","droplet-confined electrodeposition enables a precise deposition of three
dimensional, nanoscopic and high purity metal structures. it aspires to
fabricate intricate microelectronic devices, metamateri...",http://arxiv.org/pdf/2408.00660v1,Downloaded (46022.45 KB),"deposition, cu, copper, electrodeposition, electroplating",62
2306.09522v1,Pressure-Induced Detour of Li$^+$ Transport during Large-Scale Electroplating of Lithium in High-Energy Lithium Metal Pouch Cells,2023,"physics.chem-ph, cond-mat.mtrl-sci","externally applied pressure impacts the performance of batteries particularly
in those undergoing large volume changes, such as lithium metal batteries. in
particular, the li$^+$ electroplating proces...",http://arxiv.org/pdf/2306.09522v1,Downloaded (1362.19 KB),"deposition, cu, battery, lithium, electroplating",62
1404.6177v1,Stable Lithium Electrodeposition in Liquid and Nanoporous Solid Electrolytes,2014,cond-mat.mtrl-sci,"rechargeable lithium, sodium, and aluminum metal-based batteries are among
the most versatile platform for high-energy, cost effective electrochemical
energy storage. non-uniform metal deposition and ...",http://arxiv.org/pdf/1404.6177v1,Downloaded (4361.39 KB),"deposition, electrodeposition, lithium",38
2307.06475v2,in situ Monitoring of Lithium Electrodeposition using Transient Grating Spectroscopy,2023,physics.app-ph,"the mechanisms of lithium electrodeposition, which overwhelmingly affect
lithium metal battery performance and safety, remain insufficiently understood
due to its electrochemical complexity. novel, no...",http://arxiv.org/pdf/2307.06475v2,Downloaded (5032.07 KB),"deposition, battery, electrodeposition, lithium",50
2001.01236v1,Strain gradient drives lithium dendrite growth from the atomic-scale simulations,2020,cond-mat.mtrl-sci,"dendrite formation is a major obstacle, such as capacity loss and short
circuit, to the next-generation high-energy-density lithium (li) metal
batteries. the development of successful li dendrite miti...",http://arxiv.org/pdf/2001.01236v1,Downloaded (1518.53 KB),"cu, copper, lithium",38
2302.10232v1,Moss-like growth of metal electrodes: On the role of competing faradaic reactions and fast-charging,2023,cond-mat.mtrl-sci,"uncontrolled crystal growth during electroreduction of reactive metals in
liquid electrolytes produces porous, low-density, mossy metal deposits that
grow primarily along the surface normal vector to ...",http://arxiv.org/pdf/2302.10232v1,Downloaded (3532.15 KB),"deposition, cu, electrodeposition, electroplating",50
2502.05809v2,Achieving electrode smoothing by controlling the nucleation phase of metal deposition through polymer-substrate binding,2025,cond-mat.mtrl-sci,"polymer additives [like polyethylene oxide (peo)] are widely used for smooth
electrode deposition in aqueous zinc and a number of other battery systems
currently investigated for energy storage applic...",http://arxiv.org/pdf/2502.05809v2,Downloaded (28610.60 KB),"deposition, cu, copper, battery, electrodeposition",62
2309.12824v1,"Direct in- and out-of-plane writing of metals on insulators by electron-beam-enabled, confined electrodeposition with submicrometer feature size",2023,"physics.app-ph, cond-mat.mtrl-sci","additive microfabrication processes based on localized electroplating enable
the one-step deposition of micro-scale metal structures with outstanding
performance, e.g. high electrical conductivity and...",http://arxiv.org/pdf/2309.12824v1,Downloaded (18599.29 KB),"deposition, cu, copper, electrodeposition, electroplating",62
1611.00969v1,Structural and electrical properties of electrodeposited single junction of cuprous (I) oxide copper,2016,cond-mat.mtrl-sci,"cuprous (i) oxide (cu_{2}o) based solar cells were fabricated with the use of
the electrodeposition technique at nanometre scale, and the structural,
morphological and electrical properties were inves...",http://arxiv.org/pdf/1611.00969v1,Downloaded (550.72 KB),"deposition, cu, copper, electrodeposition",50
1907.04441v2,Design rules for liquid crystalline electrolytes for enabling dendrite-free lithium metal batteries,2019,"physics.app-ph, physics.chem-ph","dendrite free electrodeposition of lithium metal is necessary for the
adoption of high energy density rechargeable lithium metal batteries. here, we
demonstrate a new mechanism of using a liquid cryst...",http://arxiv.org/pdf/1907.04441v2,Downloaded (4316.40 KB),"deposition, cu, electrodeposition, lithium",50
2407.05799v1,Fabrication of n+ contact on p-type high pure Ge by cathodic electrodeposition of Li and impedance analysis of n+/p diode at low temperatures,2024,"physics.app-ph, cond-mat.mtrl-sci","fabrication of diode by forming n-type electrical contact on germanium (ge)
and its ac impedance analysis is important for radiation detection in the form
of pulses. in this work lithium (li) metal ha...",http://arxiv.org/pdf/2407.05799v1,Downloaded (5030.11 KB),"deposition, cu, electrodeposition, lithium, electroplating",62
1505.05604v2,Dendrite Suppression by Shock Electrodeposition in Charged Porous Media,2015,"physics.chem-ph, cond-mat.mes-hall, cond-mat.mtrl-sci","it is shown that surface conduction can stabilize electrodeposition in
random, charged porous media at high rates, above the diffusion-limited
current. after linear sweep voltammetry and impedance spe...",http://arxiv.org/pdf/1505.05604v2,Downloaded (1720.20 KB),"deposition, cu, copper, electrodeposition",50
1609.00597v1,Influence of Cu deposition potential on the giant magnetoresistance and surface roughness of electrodeposited Ni-Co/Cu multilayers,2016,cond-mat.mtrl-sci,"it has been shown previously for electrodeposited co/cu multilayers that the
single-bath electrodeposition process can be optimized from an electrochemical
point of view in order to avoid unwanted co ...",http://arxiv.org/pdf/1609.00597v1,Downloaded (555.61 KB),"deposition, cu, electrodeposition",38
1803.01898v2,Strategic Research Grant Report: Fiber-shaped lithium-ion batteries with metallic electrodes,2018,"physics.app-ph, physics.chem-ph","we have demonstrated a fiber lithium ion battery (lib) fabricated by
co-twisting a lifepo4 composite-coated copper wire (cathode) together with an
aluminum wire (anode). an all-solid lipf6 composite l...",http://arxiv.org/pdf/1803.01898v2,Downloaded (618.27 KB),"cu, copper, battery, lithium",50
2505.03956v1,Observation of Order and Disorder in Solid-Electrolyte Interphases of Lithium-Metal Anodes,2025,"cond-mat.mtrl-sci, physics.atom-ph","battery interfaces critically influence lithium-metal battery performance
through their role in ion diffusion and dendrite formation. however, structural
characterization of these interfaces has remai...",http://arxiv.org/pdf/2505.03956v1,Downloaded (1913.14 KB),"deposition, copper, battery, lithium",50
1709.05073v3,Theory of voltammetry in charged porous media,2017,physics.chem-ph,"we couple the leaky membrane model, which describes the diffusion and
electromigration of ions in a homogenized porous medium of fixed background
charge, with butler-volmer reaction kinetics for flat ...",http://arxiv.org/pdf/1709.05073v3,Downloaded (3104.13 KB),"deposition, cu, copper, battery, electrodeposition",62
1806.09109v1,Copper underpotential deposition on boron nitride nanomesh,2018,"cond-mat.mtrl-sci, physics.app-ph","the boron nitride nanomesh is a corrugated monolayer of hexagonal boron
nitride (h-bn) on rh(111), which so far has been studied mostly under ultrahigh
vacuum conditions. here, we investigate how copp...",http://arxiv.org/pdf/1806.09109v1,Downloaded (613.68 KB),"deposition, cu, copper, electrodeposition",50
1903.09593v1,Design Principles for Self-forming Interfaces Enabling Stable Lithium Metal Anodes,2019,"physics.app-ph, physics.chem-ph","the path toward li-ion batteries with higher energy-densities will likely
involve use of thin lithium metal (li) anode (<50 $\mu$m in thickness), whose
cyclability today remains limited by dendrite fo...",http://arxiv.org/pdf/1903.09593v1,Downloaded (3124.66 KB),"deposition, cu, electrodeposition, lithium",50
2309.16006v1,Quantitative Analysis of Sodium Metal Deposition and Interphase in Na Metal Batteries,2023,physics.app-ph,"sodium-ion batteries exhibit significant promise as a viable alternative to
current lithium-ion technologies owing to their sustainability, low cost per
energy density, reliability, and safety. despit...",http://arxiv.org/pdf/2309.16006v1,Downloaded (1125.59 KB),"deposition, cu, lithium",38
2005.05375v2,Computational Investigation of Copper Phosphides as Conversion Anodes for Lithium-Ion Batteries,2020,cond-mat.mtrl-sci,"using first principles structure searching with density-functional theory
(dft) we identify a novel $fm\bar{3}m$ phase of cu$_2$p and two low-lying
metastable structures, an $i\bar{4}3d$--cu$_3$p phas...",http://arxiv.org/pdf/2005.05375v2,Downloaded (6672.15 KB),"cu, copper, battery, lithium",50
0707.0749v1,Kinetics of Electrodeposition of Silver and Copper at Template Synthesis of Nanowires,2007,"cond-mat.mes-hall, cond-mat.mtrl-sci","the results of investigation of kinetics of nanopores filling into membranes
from aluminum oxide (pore diameter - 200 nm, porosity ~ 50%) at
electrodeposition of copper and silver are described. it is...",http://arxiv.org/pdf/0707.0749v1,Downloaded (243.46 KB),"deposition, cu, copper, electrodeposition",50
